id,name,price,created,description,quantity_sold
41,Veal - Eye Of Round,20,2022-04-06 03:03:02,"Unspecified injury of extensor muscle, fascia and tendon of right thumb at wrist and hand level, sequela",4
42,Nectarines,100,2022-01-30 20:24:30,"Poisoning by, adverse effect of and underdosing of unspecified antidepressants",2
43,Beef - Tender Tips,100,2022-01-04 22:39:26,"Collapsed vertebra, not elsewhere classified, lumbosacral region",10
44,Cheese - Ricotta,100,2022-02-04 23:04:27,"Subluxation of C1/C2 cervical vertebrae, sequela",10
45,Wine - Carmenere Casillero Del,100,2022-02-28 02:10:19,"Burn of third degree of unspecified palm, sequela",4
46,Dish Towel,20,2022-01-27 22:05:32,"Brown-Sequard syndrome at T7-T10 level of thoracic spinal cord, subsequent encounter",5
47,Pork - Caul Fat,20,2022-03-10 16:39:28,"Fall into other water striking bottom causing drowning and submersion, subsequent encounter",10
48,"Crab - Dungeness, Whole",100,2022-03-15 00:58:01,Occupational exposure to extreme temperature,7
49,"Spoon - Soup, Plastic",100,2022-03-16 12:28:00,"Nondisplaced avulsion fracture of tuberosity of left calcaneus, initial encounter for open fracture",6
50,Calvados - Boulard,20,2022-03-10 17:27:37,"Nodular lymphocyte predominant Hodgkin lymphoma, extranodal and solid organ sites",6
51,Spring Roll Wrappers,100,2022-01-31 22:05:51,"Osteonecrosis due to previous trauma, unspecified femur",6
52,Vinegar - Balsamic,20,2022-04-05 21:20:49,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye",5
53,"Veal - Brisket, Provimi,bnls",20,2022-03-12 10:04:32,"Other disorders of patella, unspecified knee",5
54,Ecolab - Balanced Fusion,20,2022-02-07 01:54:29,"Malignant neoplasm of upper-inner quadrant of breast, female",9
55,Tomato - Peeled Italian Canned,20,2022-03-16 12:06:47,"Unspecified atherosclerosis of nonbiological bypass graft(s) of the extremities, other extremity",5
56,"Shrimp, Dried, Small / Lb",100,2022-02-03 20:31:27,Unspecified injury at unspecified level of thoracic spinal cord,3
57,Wine - Sauvignon Blanc,100,2022-02-16 20:42:29,Hemorrhage in early pregnancy,3
58,"Vodka - Lemon, Absolut",20,2022-03-16 07:02:52,"Unspecified open wound of right breast, sequela",3
59,Lobak,100,2022-02-10 04:51:39,"Striking against other object with subsequent fall, sequela",6
60,"Tortillas - Flour, 12",100,2022-03-23 10:26:25,Military operations involving explosion due to accidental detonation and discharge of own munitions or munitions launch device,1
61,Sprouts - Peppercress,20,2022-01-23 10:05:24,"Laceration without foreign body of left cheek and temporomandibular area, subsequent encounter",8
62,"Rum - Cream, Amarula",20,2022-03-24 04:55:36,Opioid dependence with opioid-induced psychotic disorder with delusions,10
63,"Pepper - White, Ground",20,2022-04-14 09:06:10,"Toxic effect of harmful algae and algae toxins, intentional self-harm, subsequent encounter",5
64,Soup - Campbells Pasta Fagioli,20,2022-02-14 17:16:37,"Nondisplaced other fracture of tuberosity of right calcaneus, initial encounter for open fracture",9
65,Muffin Batt - Ban Dream Zero,20,2022-01-06 16:42:07,"Unspecified fracture of left lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",4
66,Cheese - Le Cru Du Clocher,100,2022-04-16 07:08:57,"Pathological fracture in other disease, unspecified humerus, subsequent encounter for fracture with malunion",1
67,Peppercorns - Green,20,2022-04-17 14:51:13,"Unspecified spacecraft accident injuring occupant, initial encounter",2
68,Muffin Mix - Banana Nut,20,2022-01-31 08:17:53,"Displaced fracture of glenoid cavity of scapula, right shoulder, subsequent encounter for fracture with routine healing",3
69,Milk Powder,100,2022-01-07 01:13:49,"Poisoning by other antiepileptic and sedative-hypnotic drugs, undetermined",7
70,Butcher Twine 4r,20,2022-03-21 21:06:54,"Staphylococcal arthritis, unspecified wrist",10
71,"Bread - White, Sliced",100,2022-02-16 23:57:10,Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting left non-dominant side,7
72,Wine - Acient Coast Caberne,20,2022-03-08 17:16:22,"Corrosion of first degree of multiple sites of lower limb, except ankle and foot",9
73,Juice - Lemon,100,2022-02-12 10:48:02,"Poisoning by anticoagulants, assault, subsequent encounter",5
74,Urban Zen Drinks,20,2022-02-03 22:57:40,"Other fracture of lower end of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",3
75,"Nut - Walnut, Chopped",100,2022-01-09 21:16:28,Other congenital malformations of ear,7
76,Spinach - Packaged,20,2022-04-13 13:10:47,Rheumatoid vasculitis with rheumatoid arthritis of left hand,5
77,Langers - Ruby Red Grapfruit,20,2022-04-06 23:51:01,"Displaced oblique fracture of shaft of left fibula, subsequent encounter for closed fracture with nonunion",9
78,Veal - Heart,20,2022-03-04 14:14:07,Flood,5
79,Wine - Sauvignon Blanc,100,2022-01-13 18:35:04,Corrosion of third degree of multiple sites of left ankle and foot,6
80,Coffee - Cafe Moreno,20,2022-01-22 13:30:54,"Corrosion of unspecified degree of lower back, subsequent encounter",7
